Unnamed: 0,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,model_nm,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ
0,אאודי,Q3_ספורטבק,,2022,5,5,"283,800",6,7039,שלוש שנים,אחודה,2019,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו-בנזין מיקרו-היברידי,4,1498,150,5000,25.5,1500,9.5,201,--,--,14.5,--,--,--,--,--,13,13,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,0,היגוי אקטיבי,אין,אין,אין,אין,אין,אין,אין,אין,--,444.9,184.3,153.7,267.7,530,--,1605,750,1800,235/55R18,58,מקורית + שליטה מההגה,יש,אין,יש,8.8,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,ללא,בד משולב עור,יש - לנהג בלבד,אין,אין,LED,אין,אין,אין,אין,אין,אין,יש,יש,אין,אין,אין,מראות פנים,הגה בלבד,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,אין,"ערכה לתיקון תקר, גימורי פנים אלומיניום",Q,2X4,1,7,"חבילת Comfort הכוללת: כניסה והנעה ללא מפתח, תא מטען נפתח חשמלית, מראות צד מתקפלות חשמלית ומחוממות, חיישני חנייה קדמיים ואחוריים. חבילת Tech Pack הכוללת: מצלמת רוורס, מושבים קדמיים מתכווננים חשמלית, בקרת שיוט אדפטיבית ומערכת התרעת רכב בשטח מת"
1,אאודי,Q3_ספורטבק,,2022,5,5,"336,600",7,8348,שלוש שנים,אחודה,2019,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1984,245,5000,37.7,1600,5.8,235,--,--,--,--,--,--,--,--,--,--,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,היגוי אקטיבי,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,--,444.9,184.3,153.7,267.7,530,--,1695,0,0,255/45R19,60,מקורית + שליטה מההגה,יש,אין,יש,8.8,אין,USB,Android Auto + Apple CarPlay,יש,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,כולל שמירת מרחק,בד משולב עור,יש  + זכרון,מלפנים,אין,LED,אין,אין,אין,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,אין,יש,יש,יש + Auto Hold,יש,אין,רגילים,יש,"גימורי פנים אלומיניום, פגושים ספורטיביים, מערכת שמע מבית Bang & Olufsen, זכרונות למראות הצד",Q,4X4,1,1,--
2,אאודי,Q3_ספורטבק,,2022,5,5,"296,200",6,7346,שלוש שנים,אחודה,2019,קדמית,אוטומטית - רובוטית כפולת מצמדים,7,טורבו-בנזין מיקרו-היברידי,4,1498,150,5000,25.5,1500,9.5,201,--,--,14.5,--,--,--,--,--,13,13,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,0,היגוי אקטיבי,אין,אין,אין,אין,אין,אין,אין,אין,--,444.9,184.3,153.7,267.7,530,--,1605,750,1800,235/55R18,58,מקורית + שליטה מההגה,יש,אין,יש,8.8,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,ללא,בד משולב עור,יש - לנהג בלבד,אין,אין,LED,אין,אין,אין,אחוריים + קדמיים,אין,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,אין,יש,יש,יש + Auto Hold,אין,אין,רגילים,יש,"ערכה לתיקון תקר, גימורי פנים אלומיניום, פגושים ספורטיביים",Q,2X4,1,7,"חבילת Tech Pack הכוללת: מצלמת רוורס, מושבים קדמיים מתכווננים חשמלית, בקרת שיוט אדפטיבית ומערכת התרעת רכב בשטח מת"
3,אאודי,Q3_ספורטבק,,2022,5,5,"310,800",6,7708,שלוש שנים,אחודה,2019,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7,טורבו בנזין,4,1984,190,4200,32.6,1500,7.3,220,--,--,--,--,--,--,--,--,--,--,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,היגוי אקטיבי,התרעה בלבד,אין,אין,אין,אין,אין,אין,אין,--,444.9,184.3,153.7,267.7,530,--,1695,0,0,235/50R19,60,מקורית + שליטה מההגה,יש,אין,יש,8.8,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,כולל שמירת מרחק,בד משולב עור,יש - לנהג בלבד,אין,אין,LED,אין,אין,אין,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות פנים,הגה בלבד,אין,אין,יש,יש,יש + Auto Hold,יש,אין,רגילים,יש,"גימורי פנים אלומיניום, פגושים ספורטיביים",Q,4X4,1,1,--
4,אאודי,A7,,2022,5,5,"548,800",7,12611,שלוש שנים,--,2018,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7,היברידי נטען (טורבו-בנזין),4,1984,300,5250,49.9,1600,6.3,250,--,--,55.5,188,14.1,66,7:00,--,2,2,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,היגוי אקטיבי,התרעה בלבד,יש,אין,אין,יש,אין,יש,אין,מערכת סיוע בכניסה לצומת,496.9,190.8,142.2,292.6,380,--,2140,750,2000,245/45R19,52,מקורית + שליטה מההגה,יש,אין,יש,10.1,יש,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,בד משולב עור,יש  + זכרון,מלפנים,אין,LED,אין,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,יש,יש + Auto Hold,יש,אין,מתלי אוויר אדפטיביים,יש,"מערכת שמע מבית Bang & Olufsen עם 16 רמקולים, מראות מחוממות עם זכרונות, הגה מתכוונן חשמלית, בקרת אקלים עם 4 איזורים, חלונות אחורים כהים",A,4X4,1,7,--
5,אאודי,A7,,2022,5,4,"647,000",7,16046,שלוש שנים,--,2018,כפולה (4X4),אוטומטית - רובוטית כפולת מצמדים,7,טורבו-בנזין מיקרו-היברידי,6,2995,340,5000,51,1370,5.3,250,--,--,12.9,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,היגוי אקטיבי,התרעה בלבד,אין,יש,אין,יש,אין,יש,אין,"מערכת סיוע בכניסה לצומת, מערכת עזר לעומסי תנועה",496.9,190.8,142.2,293,535,--,1890,750,2000,245/45R19,73,מקורית + שליטה מההגה,יש,אין,יש,10.1,יש,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים,אין,מטריקס LED,אין,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,יש,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,יש,יש,יש,יש + Auto Hold,יש,אין,רגילים,יש,"מערכת שמע מבית Bang & Olufsen עם 16 רמקולים, הגה מתכוונן חשמלית, סגירת וואקום לדלתות, חלונות אחוריים כהים, מערכת שטיפת פנסים",A,4X4,1,7,--
6,אאודי,S5,COUPE,2021,2,4,--,7,18385,--,--,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2894,450,5700,61.2,1900,3.9,250,--,--,10.3,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,היגוי אקטיבי,התרעה בלבד,אין,אין,אין,יש,אין,אין,אין,התרעת התנגשות מאחור,472.3,186.6,137.2,276.6,465,--,1730,0,0,275/30R20,58,מקורית + שליטה מההגה,יש,אין,יש,10.1,אין,USB,Android Auto + Apple CarPlay,אין,אין,2,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים,נהג + נוסע,מטריקס LED,אין,יש,יש,אחוריים + קדמיים,היקפיות + מבט על,יש,יש,יש,אין,כניסה + הנעה,יש,מראות צד + פנים,יש,אין,יש,יש,יש,יש + Auto Hold,יש,אין,רגילים,אין,"בקרת אקלים עם 3 איזורים, מערכת שמע מבית Bang & Olufsen עם 19 רמקולים, מערכת שטיפה לפנסים, מתלי RS ספורטיביים, זכרונות למראות הצד, ספויילר, קליפרים בצבע אדום, מערכת פליטה ספורטיבית",S,4X4,1,1,--
7,אאודי,S5,SPORTBACK,2017,5,5,--,7,--,--,--,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2995,354,5400,51,1370,4.7,250,10.1,16.3,13.3,--,--,--,--,--,14,14,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,היגוי אקטיבי,התרעה בלבד,אין,אין,אין,יש,אין,אין,אין,בקרת שיוט אדפטיבית עם פונקציית זחילה בפקקים,475.2,184.3,139.7,283.1,480,--,1735,750,1900,255/35R19,58,מקורית + שליטה מההגה,יש,אין,יש,7,יש,USB + AUX,אין,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,בד משולב עור,יש  + זכרון,אין,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,יש,אין,יש,יש,יש,יש + Auto Hold,יש,אין,רגילים,אין,"דוושות אלומיניום, בקרת אקלים עם 3 איזורים, דיפוני אלומיניום",S,4X4,1,1,--
8,אאודי,S5,SPORTBACK,2021,5,5,--,7,18385,--,--,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2894,450,5700,61.2,1900,3.9,250,--,--,10.3,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,היגוי אקטיבי,התרעה בלבד,אין,אין,אין,יש,אין,אין,אין,התרעת התנגשות מאחור,478.3,186.6,137.7,283.2,465,--,1795,0,0,275/30R20,58,מקורית + שליטה מההגה,יש,אין,יש,10.1,אין,USB,Android Auto + Apple CarPlay,אין,אין,4,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,עור,יש  + זכרון,מלפנים,נהג + נוסע,מטריקס LED,אין,יש,יש,אחוריים + קדמיים,היקפיות + מבט על,יש,יש,יש,אין,כניסה + הנעה,יש,מראות צד + פנים,יש,אין,יש,יש,יש,יש + Auto Hold,יש,אין,רגילים,יש,"בקרת אקלים עם 3 איזורים, מערכת שמע מבית Bang & Olufsen עם 19 רמקולים, מערכת שטיפה לפנסים, מתלי RS ספורטיביים, זכרונות למראות הצד, ספויילר, קליפרים בצבע אדום, מערכת פליטה ספורטיבית",S,4X4,1,1,--
9,אאודי,S5,,2017,2,4,--,7,--,--,--,2016,כפולה (4X4),אוטומטית - טיפטרוניק,8,טורבו בנזין,6,2894,450,5700,61.2,1900,3.9,250,8.7,14.1,11.4,--,--,--,--,--,15,15,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,0,0,1,התרעה בלבד,התרעה בלבד,אין,אין,אין,יש,אין,אין,אין,--,472.2,186.2,135.9,276.6,465,--,1837,0,0,275/30R20,58,מקורית + שליטה מההגה,יש,אין,יש,7,יש,USB,אין,אין,אין,2,בקרת אקלים + פתחי איוורור מאחור,גג שמש פנוראמי,1,כולל שמירת מרחק,עור,יש  + זכרון,אין,נהג בלבד,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,יש,אין,כניסה + הנעה,יש,מראות צד + פנים,יש,אין,אין,יש,יש,יש,יש,אין,רגילים,אין,"דוושות אלומיניום, בקרת אקלים עם 3 איזורים, דיפוני אלומיניום, חלונות אחוריים כהים, מערכת שמע משודרגת מתוצרת Bang & Olfsen עם 19 רמקולים, מתלי ספורט, מערכת שטיפת פנסים, ספוילר קדמי ואחורי, קליפרים אדומים",S,4X4,1,1,--
